step,3915-choose-best,3915-choose-first,6058-choose-best,6058-choose-first,7494-choose-best,7494-choose-first,time-3915-choose-best,time-3915-choose-first,time-6058-choose-best,time-6058-choose-first,time-7494-choose-best,time-7494-choose-first
72,0.345771,0.0233402,0.326505,0.0276266,0.332435,0.00940989,,,,,,
73,0.34842,0.0233588,0.329103,0.0278811,0.334778,0.0134001,,,,,,
74,0.35201,0.0283258,0.332926,0.0280385,0.337082,0.0134042,,,,,,
75,0.355214,0.0295142,0.336841,0.0280418,0.339357,0.0136101,,,,,,
76,0.357747,0.031092,0.339492,0.0282081,0.341558,0.0139487,,,,,,
77,0.360421,0.0310949,0.342139,0.028209,0.344788,0.0162602,,,,,,
78,0.362833,0.0312886,0.344765,0.0283886,0.34698,0.0164514,,,,,,
79,0.365221,0.0339296,0.347275,0.0287516,0.349161,0.0191548,,,,,,
80,0.367654,0.0341034,0.349723,0.0297722,0.351929,0.0191652,,,,,,
81,0.369946,0.0363617,0.352599,0.0297795,0.354082,0.0191838,,,,,,
82,0.372178,0.0363626,0.354989,0.0297868,0.356115,0.0200256,,,,,,
83,0.374395,0.0370664,0.357825,0.0308576,0.358163,0.0200302,,,,,,
84,0.376584,0.0373995,0.36123,0.0308584,0.360189,0.0202276,,,,,,
85,0.378978,0.037403,0.363594,0.031075,0.362205,0.0207157,,,,,,
86,0.381192,0.0377916,0.365963,0.0310758,0.364211,0.0207163,,,,,,
87,0.383295,0.0390025,0.368446,0.0310767,0.367304,0.0219343,,,,,,
88,0.385387,0.0391818,0.370887,0.0321584,0.369487,0.0247398,,,,,,
89,0.387465,0.0426755,0.373227,0.0327479,0.371475,0.0267528,,,,,,
90,0.389505,0.0426764,0.375566,0.0332899,0.373439,0.0284478,,,,,,
91,0.391499,0.0426774,0.377787,0.0346316,0.375405,0.0306443,,,,,,
92,0.393496,0.0484223,0.380125,0.034638,0.377238,0.0306581,,,,,,
93,0.395492,0.0490844,0.382341,0.0351787,0.379032,0.0309768,,,,,,
94,0.397438,0.0499398,0.385652,0.0351794,0.380829,0.031022,,,,,,
95,0.399292,0.0500905,0.387861,0.0393,0.382612,0.0338828,,,,,,
96,0.401111,0.0500999,0.39004,0.0394819,0.384382,0.0343328,,,,,,
97,0.402917,0.0517,0.392164,0.0396667,0.386123,0.0346311,,,,,,
98,0.404738,0.0517042,0.394444,0.0396673,0.387853,0.0378545,,,,,,
99,0.406799,0.0517136,0.396588,0.0407421,0.38955,0.037863,,,,,,
100,0.40938,0.0545012,0.398649,0.0407427,0.391554,0.0379086,,,,,,
101,0.412802,0.0545266,0.401555,0.0407523,0.393219,0.0379169,,,,,,
102,0.415461,0.0557938,0.403549,0.0473559,0.394846,0.0379206,,,,,,
103,0.417383,0.0570552,0.405527,0.0475937,0.396472,0.0379437,,,,,,
104,0.419095,0.0585034,0.407739,0.0476219,0.398088,0.0383263,,,,,,
105,0.42079,0.0587156,0.409642,0.04766,0.400419,0.0385363,,,,,,
106,0.422485,0.0587246,0.411605,0.0516746,0.402122,0.0387272,,,,,,
107,0.424191,0.0589208,0.413536,0.0518214,0.403742,0.0399236,,,,,,
108,0.425844,0.0591239,0.415416,0.0522059,0.4054,0.04024,,,,,,
109,0.427467,0.0592621,0.417279,0.0528569,0.407017,0.0415557,,,,,,
110,0.429057,0.0670786,0.419125,0.0528594,0.408617,0.0431541,,,,,,
111,0.431222,0.0670874,0.421906,0.0528618,0.411142,0.043219,,,,,,
112,0.434634,0.0670884,0.425735,0.0533543,0.412991,0.0434446,,,,,,
113,0.437302,0.067251,0.428683,0.0533611,0.414563,0.0482893,,,,,,
114,0.438997,0.0672667,0.43059,0.054294,0.416133,0.0496885,,,,,,
115,0.440684,0.0672677,0.432426,0.0554679,0.4177,0.0503276,,,,,,
116,0.442328,0.0673612,0.434232,0.0554687,0.419229,0.0568021,,,,,,
117,0.443921,0.0673621,0.436002,0.055663,0.420734,0.0574142,,,,,,
118,0.445452,0.0687412,0.43767,0.0564834,0.422208,0.0574193,,,,,,
119,0.44697,0.0687484,0.439274,0.0581102,0.423682,0.0575743,,,,,,
120,0.448483,0.0687993,0.440877,0.0582935,0.425151,0.0576065,,,,,,
121,0.449986,0.069161,0.44248,0.0605866,0.426599,0.0576077,,,,,,
122,0.451477,0.0712666,0.444076,0.0609137,0.428047,0.0577627,,,,,,
123,0.453154,0.071339,0.445627,0.0610391,0.429485,0.0577928,,,,,,
124,0.454643,0.0713591,0.447276,0.0610546,0.430904,0.0589797,,,,,,
125,0.456,0.072583,0.448863,0.0610633,0.432356,0.0599717,,,,,,
